Iteration,hillClimbing.py Execution Time (s),simulatedAnnealing.py Execution Time (s)
1,152.6022720336914,72.64456677436829
2,148.2943150997162,72.42373776435852
3,149.26765727996826,72.51037812232971
4,149.75860047340393,72.45142412185669
5,151.04501080513,72.46353530883789
